,index,company_name,position,location,date_posted,Number of applicants,number of views,job_type,employees,sector,descriptions,search_keyword
269,270,Expedia Group,Software Dev Engineer II,"Madrid, Community of Madrid, Spain",Posted 1 month ago,0 applicants,Number of views 8 views,Mid Senior level,10001+ employees,Internet,Software Development Engineer II We are looking for a Software Development Engineer II to join one of our teams responsible for developing technology that helps millions of travellers to find the best accommodation at the right time for their next unforgettable trip Our team mission is to enable support highly optimised landing pages and unlock new opportunities by leveraging EG capabilities to create a world class efficient fast scalable resilient and automated landing platform As a team we love to Expand our skills in building highly scalable solutions while influencing others and raising the bar on the overall level of excellence within the teamWork in an environment where elegant clean maintainable code is favoured over messy hacksShare our knowledge with each other and learn new thingsTake advantage of our amazing travel discounts and tick some destinations off our bucket lists We ll take your career on a journey that s flexible and right for you whilst recognising and rewarding your achievements Competitive salaries and many growth opportunities within the companyYou will get the opportunity to serve as a domain expert in multi functional feature deliveryOption to attend conferences globally and enrich the technology skills you are passionate aboutTo work in an inclusive environment and educate ourselves to be better allies for our peers What You ll Do You will collaborate with team members to co develop and solve problemsYou will seek knowledge from domain specialists when neededYou will implement product features working as part of a multi functional team and run what you build approachWork in an agile teamYou understand the importance of system and technology integration and the basic features and facilities involved in the integration processYou will apply software design principles data structures and or design patterns and computer science fundamentals to write code that is clean maintainable optimised modular with good naming conventionsYou will help coordinate stakeholder input and collaboration efforts when developing solutions to issuesYou will report clearly on current work status You ask challenging questions when empowered to do so Who You Are Bachelor s or Master s degree in a Technical field or equivalent related professional experienceEquivalent experience includes Developing software in a team environment of at least 5 engineers agile version control etc and Building and maintaining a software project product in production environments in public hybrid cloud infrastructureVery passionate about learning especially in the areas of technology service design patterns and system architectureUnderstanding of how projects fit together within your teamAble to understand moderately complex systemsUnderstanding of testing and monitoring toolsUnderstanding of how teams goals fit a business needIdeally you know functional programming paradigm and scala About Expedia Group Expedia Group NASDAQ EXPE powers travel for everyone everywhere through our global platform Driven by the core belief that travel is a force for good we help people experience the world in new ways and build lasting connections We provide industry leading technology solutions to fuel partner growth and success while facilitating memorable experiences for travelers Expedia Group s family of brands includes Brand Expedia Hotels com Expedia Partner Solutions Vrbo Egencia trivago Orbitz Travelocity Hotwire Wotif ebookers CheapTickets Expedia Group Media Solutions Expedia Local Expert CarRentals com and Expedia Cruises 2021 Expedia Inc All rights reserved Trademarks and logos are the property of their respective owners CST 2029030 50 Expedia is committed to creating an inclusive work environment with a diverse workforce All qualified applicants will receive consideration for employment without regard to race religion gender sexual orientation national origin disability or age,data analyst
270,271,SGS,IT Business Analyst Information Systems Integration,"Madrid, Community of Madrid, Spain",Posted 2 weeks ago,4 applicants,Number of views 26 views,Mid Senior level,10001+ employees,International Trade & Development,Company Description SGS is the world s leading inspection verification testing and certification company We are recognised as the global benchmark for quality and integrity With more than 89 000 employees we operate a network of more than 2 600 offices and laboratories around the world This position will sit within our Corporate IT team Job Description The Business Analyst will work on core SGS corporate IT projects and help our business units to turn their requirements into functional specifications Working in partnership with our development and architecture teams you will also facilitate functional testing and support UAT activities More Specifically You Will Define the acceptance criteria and specification for projects Create and publish release documentation for new applications Support the business in preparing training material and sessions Assist in the support and trouble shooting of issues raised in Production Collate data and information on internal client satisfaction Qualifications Educated to degree level in Computer Science or related subject Proven experience as a Business Analyst in a technology or Internet based software development environment Good knowledge of SOAP REST web services and related data format XML JSON Experience in Oracle SOA Suite is an added advantage Understanding of the Application Lifecycle Management Fluent in English Additional Information This position will be based at our IT hub in Madrid,data analyst
271,272,Capgemini Engineering,Ingeniero a de Software Embebido,"Madrid, Community of Madrid, Spain",Posted 4 days ago,16 applicants,Number of views 111 views,Associate,10001+ employees,Information Technology & Services,Desde Capgemini Engineering buscamos un una Ingeniero a de Software Embebido para nuestra división de Aeronáutica Espacio y Defensa Cumples los siguientes requisitos Ingeniero a en Informática Telecomunicaciones Física Matemáticas o Aeronáutica Experiencia en desarrollo de software embebido en C C Conocimientos en protocolos de comunicación Nivel de inglés B2 Buenas habilidades comunicativas trabajo en equipo flexibilidad y proactividad Perfil analítico Te estamos buscando Si tu perfil encaja en la vacante no dejes pasar esta oportunidad y únete al equipo de Capgemini Engineering,data analyst
272,273,Agoda,Analyst Analytics Operations Supply Strategy and Optimisation Bangkok based relocation provided,"Madrid, Community of Madrid, Spain",Posted 2 weeks ago,5 applicants,Number of views 70 views,Associate,"1,001-5,000 employees",Internet,About Agoda Agoda is an online travel booking platform for accommodations flights and more We build and deploy cutting edge technology that connects travelers with more than 2 5 million accommodations globally Based in Asia and part of Booking Holdings our 4 000 employees representing 90 nationalities foster a work environment rich in diversity creativity and collaboration We innovate through a culture of experimentation and ownership enhancing the ability for our customers to experience the world Get to Know our Team The Supply Optimization and Commercialization SOCs team sits within the Product Supply team at Agoda Bangkok We work closely with the sales department Partner Services to identify and optimize growth opportunities on accommodations supply for the company and to set up experiments to measure and implement changes The projects SOCs team works on directly impact Agoda s bottom line and have long lasting structural impact to the business We cover a range of topics including organizational efficiency sales and product optimization go to market strategies as well innovation and products We collaborate with multiple departments and produce highly visible results backed up by experimentation and data Utilizing powerful tools and possessing an end to end view of how Agoda works the SOCs offers a team of learning and experience that will push you and Agoda into new territory The Opportunity The SOCs Analytics team is a sub team within the SOCs team and serve as subject matter experts on analytics automation business intelligence data and experimentation We work closely with the other business product and analytics teams to develop and build analytical products systems and automated processes as well as drive analytical projects to improve organisational performance and drive revenue growth for the company The analyst will assist in managing the operations of complex analytical processes algorithms and automated systems being used across the Supply side of the organisation The ideal candidate will have a blend of operational and analytical skillsets In this Role you ll get to Manage complex analytics processes and algorithms to ensure their continued smooth operation identifying root causes and debugging them where neededUse and analyse data from multiple large scale data warehouses and understand data flows across the entire organisationIdentify support and lead projects aimed at improving the operations of our automated systems e g root cause detection anomaly detection performance analysis Develop automated infrastructure supporting business intelligence at a global level as well as the analytics processes supporting themDrive new analytical initiatives and projects aimed at improving organisational efficiency What you ll Need to Succeed A hacker s mindset the ability to build simple but clever and elegant solutions to new problems within significant resource operational and time constraints through deep understanding of the business creative problem solving and a wide range of expertise in data analytics automation programming and prototypingEither Bachelor s degree in Computer Science or Bachelor s degree in a quantitative discipline with extensive programming experienceExperience in big data cleaning and wrangling as well as simple analytical processing SQL is a must A basic understanding of statistics and data and the ability to implement this understanding in complex business situationsThe ability to visualise and understand complex data flows pipelines and processes It s Great if you have Experience with complex analytics and statistical machine learning techniques using R Python SparkExperience building automated analytical processes and functionality STRA ANLS MRKT 3 hongkong kualalumpur hochiminh jakarta manila hongkong beijing toronto vancouver berlin paris barcelona london madrid bangkok data representation data analysis SQL data analytics analytics python programming language data mining data science r programming language tableau analytical skills data visualization databases business analysis business intelligence bi microsoft sql server machine learning statistics microsoft power bi java finance shopee traveloka google facebook ctrip trip com makemytrip grab amazon pandas software artificial intelligence ai information technology capital one accenture upwork deloitte mckinsey bain microsoft uber lyft gojek lazada alibaba shopify expedia skyscanner Equal Opportunity Employer At Agoda we pride ourselves on being a company represented by people of all different backgrounds and orientations We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation Employment at Agoda is based solely on a person s merit and qualifications We are committed to providing equal employment opportunity regardless of sex age race color national origin religion marital status pregnancy sexual orientation gender identity disability citizenship veteran or military status and other legally protected characteristics We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file For more details please read our privacy policy To all recruitment agencies Agoda does not accept third party resumes Please do not send resumes to our jobs alias Agoda employees or any other organization location Agoda is not responsible for any fees related to unsolicited resumes,data analyst
273,274,Electronic Arts EA,Online Software Engineer C,"Madrid, Community of Madrid, Spain",Posted 1 week ago,12 applicants,Number of views 121 views,Full time,10001+ employees,Computer Games,EA SPORTS is one of the leading sports entertainment brands in the world with top selling videogame franchises award winning innovation fan programs and cross platform digital experiences dedicated to growing the love of sports EA SPORTS creates authentic immersive and fun experiences that invite a diverse audience of players to create connect compete and self express through industry leading sports videogames and live services including FIFA Madden NFL NHL NBA LIVE and EA SPORTS UFC For more information about EA SPORTS including news video blogs forums and game apps please visit www easports com Interested in joining our team At EA Madrid where passion for sports is only matched by the talent on the ground we are looking for passionate Software Engineers along with other disciplines to play an integral part in developing the next installments of our Madden franchise The Challenge Ahead To provide major online gaming components and features for our Madden franchise with a focus on code quality extensibility and testability and to provide support to engineers on the team You will design next generation game engine components used to power online gaming experiences and services What An Online Software Engineer Does At EA Participate in distributed agile development across multiple teamsWrite code and help with the designing for interfaces for game systems using C and object oriented programming Help evaluate system performance troubleshoot and develop complex modifications to applications as neededCollaborate with other Software Engineers and Team Leads in developing recommendations to improve quality control and team productivityWork directly with both client and server teams to maintain high traffic services for multi platform gamesIterate and design improvements to live systems and workflowsIdentify bottlenecks and slow queries and improve them The Next Great EA Online Software Engineer Also Needs Bachelor degree in Computer Science or related field or equivalent training and professional experience 5 years of development experience in Agile Scrum environmentProficiency with C with an emphasis on OOP DExperience with MySQL or similar relational databaseExperience in a Windows environment Linux experience is a plus Experience with client server architectures basic network protocols e g TCP IP and UDP concurrency and latencyMultithreaded programming and debugging experienceExperience with scripting languages i e Lua Python XML and C Test and debug other Software Engineer s code competentlyKnowledge of source code management Git or Perforce is preferredFluent in English What s in it for you Glad you asked Since we realize it takes excellent people to make outstanding games we offer great benefits packages and a culture that are motivated by creativity and passion You will also get a benefit package that includes medical and life insurance pension plan meal vouchers stocks programs fitness reimbursement flex benefit program and of course free video games EA is an equal opportunity employer All employment decisions are made without regard to race sex gender gender identity or expression sexual orientation age religion disability medical condition pregnancy marital status family status or any other characteristic protected by law EA also makes workplace accommodations for qualified individuals with disabilities as required by applicable law We Thought You Might Also Want To Know Click here if you want to know more about our locationPlease check out our digital magazine for more information about Living in Spain Don t Just Play It Create It,data analyst
274,275,Banco Santander,Product Senior Analyst SAM,"Madrid, Community of Madrid, Spain",Posted 3 weeks ago,7 applicants,Number of views 228 views,Full time,10001+ employees,Banking,SAM is looking for a PRODUCT SENIOR ANALYST based in our MADRID office WHY YOU SHOULD CONSIDER THIS OPPORTUNITYWould you like to be part of one of the largest transformations the World is experiencing in the past several decades In Financial Services consumer expectations are rising and technological advances are enabling amazing customer experiences and new businesses not possible before The emergence of disruptive platforms as a business model has reshaped other industries and is poised to do the same in financial services At Santander www santander com we embrace this change Santander Asset Management is a global structure with strong local roots in Europe and Latin America With presence in 11 countries we have assets of more than 175 billion working for institutional clients individual clients and intermediaries such as Santander banks in all geographies Our knowledge in Latin America makes us real experts on the region allowing us to provide you with unique opportunities to invest Our philosophy is to manage our investments to capture maximum upside but also downside protection We offer a comprehensive range of investment solutions from investment funds to illiquid assets to provide right answers to your needs You can click here Why Santander to watch a short clip and learn why banking is still exciting Santander is proud of being an organization where there are equal opportunities regardless of gender identity culture and disability Our mission is to contribute to help more people and business prosper WHAT YOU WILL BE DOING As a Product Senior Analyst you will help to create and maintain SAM Global Product Catalogue coordinate documentation and commercial material and analyze products and modifications to existing products to be submitted to the Global Product Committee We need someone like you to help us in different fronts Maintenance of all key fund information fees share classes minimum investment amounts etc Preparation of KIIDs for Luxembourg products and annual updates Preparation of EMTs and EPTs in coordination with the complaince team Commercial support for Luxembourg products including creating and recurrent update of presentations teasers sales pitch video Support to the different SAM entities with regards to the Luxembourguese product range helping also local countries with the preparation of their own materials linked to master feeder vehicles Coordination of the production of fund factsheets Update and dissemination of key metrics AUM net flows etc Fund data dissemination to international 3rd parties vendors distributors and media Lux website product data feeding Lux website maintenance look and feel Support the local product development process Implementing and maintaining a common product development framework across countries Elaborating and keeping record of new product templates for the analysis of new products initiatives Coordinate the Product approval process for all SAM Countries helping local countries during the preparation of the materials for the different approval forums Elaborating the documentation and the minutes of the Global Product Committee Will be responsible for managing the relationship with the Global team of the Bank regarding all products presented and helping answering queries with the SAM entity involved Participation in key strategic projects such as Global Web Infinity providing support for the successful implementation of the projects Desired Skills and Experience WHAT WE ARE LOOKING FOR EXPERIENCE 7 years of experience within the financial industry banking or asset management Experience in providing commercial support to networks and if possible understand the asset management industry and the fund s product management process to provide adequate product support for the global products Lux EDUCATION Required Bachelor s degree Desired Master s degree SKILLS KNOWLEDGE Good knowledge of Databases Access or equivalent and Excel Macros Knowledge of PowerPoint and Power BI Knowledge of Bloomberg and other financial markets databases Lipper or Morningstar Fluent in English and Spanish WHAT WE OFFER YOU Welcome to TheSantanderEffect Here with only a small action or a simple idea you can do great things We offer you the advantages and the means to contribute to the progress of more than 140 million people around the world These are the key factors that multiply the actions of all our employees Meaningful Impact Where the effect of your work makes a difference and helps people to prosper Personal and Professional Growth The chance to develop through world class training challenging work and different roles Respect Be part of an organization that cares about its people its wider community and the environment Co worker quality Work with inspiring professionals who are leaders in their field Global stability Work for a solid global organization that has successfully reinvented itself many times in its 160 year history If you want to know more about us follow us on https es linkedin com company banco santander,data analyst
275,276,Rawson BPO,Programador React con Ingles,"Madrid, Community of Madrid, Spain",Posted 3 weeks ago,0 applicants,Number of views 3 views,Entry level,51-200 employees,Information Technology & Services,En Rawson BPO buscamos perfiles como Conocimientos Requeridos Conocimiento avanzados de desarrollo Front Experiencia en diseño de arquitectura de aplicaciones ReactJS Experiencia en entornos Cloud Experiencia en trabajo con CI CD Nivel de inglés Responsabilidades Definir la arquitectura de la aplicación Front desarrollada con React que forma parte de un sistema de gran complejidad arquitectónica Observaciones Contrato indefinidosalario a convenir,data analyst
276,277,Amazon,Account Manager Grocery 1yr contract,"Madrid, Community of Madrid, Spain",,63 applicants,New,Mid Senior level,10001+ employees,Internet,Description 12 month contract Work hard Have fun Make history At Amazon we expect no more and no less from you Ever since Amazon opened its virtual doors it has been the aim to become the most customer centric company in the world How is this achieved By having people like you who make sure that customers find everything that they are looking for online at great prices and convenience Both Amazon and Sellers who list their products on the site already offer millions of new and used items in a wide range of categories And this is just the beginning Come and experience a company that reinvents itself every day Immerse yourself in an environment that is fast paced expanding and is continuously inventing new efficiencies and offering great opportunity for our customers and for you Our ultra fast grocery service is seeking a talented Account Manager to play a critical role to our sellers offering and business performance ensuring the creation of an innovative best in class cross channel experience to drive ongoing customer trial and engagement This is an unique opportunity to play a key role in an exciting and groundbreaking new initiative at Amazon in its early stages In this role you will manage the day to day seller activities and will lead initiatives to improve their business in Amazon You will conduct performance analysis to gain customer insights as you develop knowledge of the products market trends and business best practices You will work closely with different teams on the creation and implementation of best in class customer experience support large scale events analyze performance and improve execution based on learning This is a growing and fast moving business and you will be required to move quickly pivot as needed learn tools and processes and create new ones as needed To be successful in this role you should be passionate about the customer be able to work with multiple teams have proven analytical capability and the ability to multi task and thrive in a fast paced environment The successful candidate will be able to execute while also spotting opportunities for automation and process improvement Specific Responsibilities Be a business partner for new sellers providing them with data driven insights and advice to optimize their success on Amazon Learn and understand the specificities of your categories to spot popular brands trends seasonal items and pricing to best tailor your pitch and advice to sellers Track and report business development results analyze data interpret reports and information for your portfolio of sellers Basic Qualifications 1 year experience as product manager consulting business planning business analyst in complex business environment Strong data management skills with Excel High degree of organization and ability to manage multiple competing priorities simultaneously Superior verbal and written communication skills Fluency in Spanish and English written and spoken Extreme attention to detail and willingness to roll up your sleeves Relentless customer focus Preferred Qualifications Experience with SQL desired Company Amazon EU SARL Spain Branch Job ID A1541294,data analyst
277,278,Rawson BPO,Programador APIs y Spring Boot Madrid,"Madrid, Community of Madrid, Spain",Posted 1 day ago,0 applicants,Number of views 9 views,Entry level,51-200 employees,Information Technology & Services,En Rawson BPO Seleccionamos Programador APIs y Spring Boot Para una importante oferta laboral del sector IT en Madrid Requisitos Experiencia de 3 a 5 años Desarrollador de APIs y desarrollo de microservicios en springbootSería deseable que tuviera experiencia en APIGee Si quieres conocer más detalles Inscríbete en la oferta y nos pondremos en contacto contigo,data analyst
278,279,Twilio,Software Engineer Billing Platform,"Madrid, Community of Madrid, Spain",Posted 1 week ago,0 applicants,Number of views 46 views,Full time,"5,001-10,000 employees",Internet,Because you belong at Twilio The Who What Why And Where Twilio is growing rapidly and seeking an experienced Software Engineer to be a part of a team of talented engineers who build and integrate services that continuously improve our ability to provide products to customers while simultaneously delivering industry leading availability We do this by leveraging technologies that include AWS cloud infrastructure and APIs Apache Kafka Rest APIs while also building our own services or contributing to open source projects Who You will design architect and build core platform services REST APIs and help transition our platform to next generation architecture Your responsibility will be to help design billing infrastructure that works for all Twilio customers regardless of their account complexity We run on AWS cloud infrastructure and use AWS cloud data store messaging services MySQL Redis and Docker You Are Somebody With 3 years of work experience building highly scalable products Strong experience with Java Scala or Python Experience building scalable software systems and strong background in distributed systems infrastructure business logic for APIs or tooling to help debug mission critical applications Experience building and debugging high traffic messaging applications Excellent experience debugging and scaling production infrastructure and services Understanding of AWS infrastructure or similar public cloud providers A tenacity for learning curious and constantly pushing the boundary of what is possible Mentored and led a team of engineers executing medium to large scale projects Pioneered and established engineering best practices throughout the software development lifecycle Strong technical and leadership chops Led technical decisions for your team and influenced technical decisions across your functional domains Led initiatives projects that enforce operational reliability factors such as monitoring performance and capacity planning security and disaster response Strategic thinker and thrive operating in broad scope from conception through continuous operation of 24x7 services As a pragmatist able to distill complex and ambiguous situations into actionable plans for your team Thrive on solving complex problems and has the aptitude to navigate uncharted waters Clear written and spoken communication skills Ability to manage and resolve conflict you have the ability to listen present and question effectively Self drive not afraid to take on complete ownership of your tasks and champion efforts to get your tasks to completion Ability to rationalize Degree in Computer Science or a related field or equivalent work experience Bonus Experience building and managing Devops infrastructure A level debugging skills on production systems On call experience debugging mission critical systems What As a Software Engineer you will you will live the Twilio Magic values WRITE IT DOWN Document technology decisions and implementations and support epic and story refinement DRAW THE OWL Identify opportunities for improvement across both technology and process Use your foresight and experience to keep our systems effectively running now and in the future through profiling load testing failure testing monitoring and much more to have confidence in the robustness of the systems we deploy BE INCLUSIVE Collaborate to support strong team results and build effective working relationships RUTHLESSLY PRIORITIZE Exhibit good priority and time management skills to support sprint commitments BE AN OWNER BE BOLD Lead or assist in all aspects of technology decisions including strategy efficiencies open source offerings and integration details Champion meticulous high quality engineering and be a role model for software development habits and practices for distributed systems EMPOWER OTHERS Interact extensively across all functional teams within Twilio and encourage collaborative solutions NO SHENANIGANS Ensure the consistent exercise of appropriate judgment and transparency in all your communications and interactions Use your advanced engineering communication and organizational skills to ensure we deliver what the business wants and needs Why The Billing Platform is central to Twilio s continued growth We work closely with senior leadership product teams GTM and G A to support Twilio s existing business new products and acquisitions The success of Twilio is dependent on the success of the Billing Platform and its ability to provide scalable reliable intuitive experiences for our internal stakeholders and external customers Twilio is a company that is empowering the world s developers with modern communication in order to build better applications Twilio is truly unique we are a company committed to your growth your learning your development and your entire employee experience We only win when our employees succeed and we re dedicated to helping you develop your strengths We invest in weeks dedicated to tackling hard problems and creating your own ideas We have a cultural foundation built on diversity inclusion and innovation and we want you and your ideas to thrive at Twilio Where This position will be located in our beautiful and well designed office in Madrid or if you don t live in Madrid you can work from another city Considering the world s current circumstances you will start from your home office in Spain Around the world Twilio offers great benefits and perks to support the physical financial and emotional well being of you and your loved ones No matter where you are based you will experience a company that believes in small teams for maximum impact seeks well rounded talent to ensure a full perspective on our customers experience understands that this is a marathon not a sprint that continuously and purposefully builds an inclusive culture that empowers everyone to do their best work and be the best version of themselves About Us Millions of developers around the world have used Twilio to unlock the magic of communications to improve any human experience Twilio has democratized communications channels like voice text chat video and email by virtualizing the world s communications infrastructure through APIs that are simple enough for any developer to use yet robust enough to power the world s most demanding applications By making communications a part of every software developer s toolkit Twilio is enabling innovators across every industry from emerging leaders to the world s largest organizations to reinvent how companies engage with their customers,data analyst
279,280,The Cocktail,Digital Analytics Engineer,"Madrid, Community of Madrid, Spain",Posted 2 weeks ago,1 applicant,Number of views 60 views,Associate,201-500 employees,Management Consulting,Este es el reto En The Cocktail buscamos a una persona con background técnico y al menos un año de experiencia técnica en analítica digital con la suite de Adobe o Google que tenga la ambición de ayudar a grandes empresas a mejorar su negocio a través de la recolección y el análisis de datos En el departamento de Analytics Engineering lideramos proyectos con clientes nacionales e internacionales ofreciendo la máxima calidad desde la conceptualización hasta el proceso de implementación y auditoría con equipos técnicos propios de clientes y o terceros utilizando herramientas punteras y muy especializadas Esto es lo que harás Trabajar a diario en proyectos de analítica digital principalmente mediante gestores de etiquetas como Tealium Google Tag Manager Adobe DTM Adobe Launch Conceptualizar y desplegar implementaciones en activos digitales web y o mobile usando principalmente JavaScript y jQuery Manejar la plataforma de analítica Adobe Analytics y Google Analytics Definir implementaciones en mobile para las principales tecnologías Android e iOS utilizando Adobe Experience Platform Mobile SDK Implementar técnicamente tests A B o multivariantes y personalizaciones mediante la herramienta Adobe Target Google Optimize Trabajar de forma transversal con equipos especializados análisis y objetivos de negocio experiencia de usuario diseño optimización de la conversión campañas Aprender y compartir lo que sabes Pasarlo bien con nosotros y tener sentido del humor La experiencia en The Cocktail Modelo de trabajo basado en la autorresponsabilidad y la autogestión con horario flexible y teletrabajo de verdad Formación pensada para tu desarrollo profesional e individual Acceso a una red de gimnasios por un precio especial 27 merecidos días de vacaciones al año y por si no son suficientes puedes disfrutar de hasta 5 días más de extra time Seguro médico privado con cobertura completa Posibilidad de retribución flexible tarjeta restaurante tarjeta transporte o cheque guardería Un equipo de trabajo a tu medida para que uses el sistema operativo que más te guste No tenemos dress code Ven como quieras a trabajar Nuestras oficinas están ubicadas en el centro de la ciudad tanto en Madrid como en Oviedo Ser parte de una compañía con alma tenemos iniciativas de apoyo a la maternidad una sala de lactancia en la oficina y programas para mamás y papás la sostenibilidad políticas zero waste la igualdad de género y diversidad iniciativas de visibilización e inclusión del colectivo LGTB colaboraciones para disminuir la desigualdad social En The Cocktail pretendemos ser un referente en talento y calidad humana y sólo lo conseguiremos siendo una compañía abierta y diversa por eso tenemos un Código de Conducta que refleja nuestras expectativas de las personas que participan en la empresa Ofrecemos un entorno acogedor para todos independientemente de su identidad o expresión de género orientación sexual capacidad origen religión estatus socioeconómico Próximos pasos Si has llegado hasta aquí es porque hemos conseguido llamar tu atención Apúntate a la oferta y el equipo de People echará un vistazo a tu CV Si coincide con lo que buscamos recibirás una llamada para conocernos mejor que podamos contarte más sobre The Cocktail y el sobre el rol Nuestros procesos de selección suelen tener alrededor de dos o tres entrevistas y es posible que en algún momento queramos verte en acción y te propongamos un reto técnico Al final del proceso charlaremos acerca de las condiciones salariales del puesto una vez te conozcamos bien y sepamos cuánto puedes aportar Si necesitas un tip para el proceso simplemente queremos que seas tú Te vienes,data analyst
280,281,Rawson BPO,Programador APIs y Spring Boot,"Madrid, Community of Madrid, Spain",Posted 3 weeks ago,0 applicants,Number of views 1 view,Entry level,51-200 employees,Information Technology & Services,Te gustaría trabajar en un ambiente dinámico y trabajar en una empresa de primer nivel En Rawson buscamos Programador APIs Y Spring Boot para una importante oferta laboral del sector IT Se Requiere Experiencia de tres a cinco 3 a 5 añosDesarrollador de APIs y desarrollo de microservicios en springboot Sería deseable que tuviera experiencia en APIGee,data analyst
281,282,Worldline Global,Desarrolladores C,"Madrid, Community of Madrid, Spain",Posted 3 weeks ago,0 applicants,Number of views 2 views,Entry level,10001+ employees,Information Technology & Services,Sobre Worldline Worldline Euronext WLN es el líder europeo en la industria de pagos y servicios transaccionales y el jugador número 4 a nivel mundial Con su alcance global y su compromiso con la innovación Worldline es el socio tecnológico elegido por comerciantes bancos y terceros adquirentes así como operadores de transporte público agencias gubernamentales y empresas industriales en todos los sectores Impulsado por más de 20 000 empleados en más de 50 países Worldline ofrece a sus clientes soluciones sostenibles confiables y seguras en toda la cadena de valor de pagos fomentando el crecimiento de su negocio dondequiera que se encuentren Servicios ofrecidos por Worldline en las áreas de Servicios comerciales Terminales soluciones y amp Servicios Servicios financieros y movilidad amp Los servicios transaccionales electrónicos incluyen adquisiciones comerciales nacionales y transfronterizas tanto en la tienda como en línea procesamiento de transacciones de pago altamente seguro una amplia cartera de terminales de pago así como servicios digitales y de emisión de boletos electrónicos en el entorno industrial En 2019 Worldline generó unos ingresos proforma de 5 300 millones de euros worldline com Estamos buscando perfiles de C para un proyecto internacional En Worldline desarrollamos una solución de medios de Pago basada en C y SQL El proyecto se desarrolla en Madrid pero se trabaja codo a codo con Alemania Francia y Suiza por lo que la oportunidad de trabajar en un entorno internacional es muy buena Se trabaja bajo metodologías Agile Al ser un proyecto internacional es necesario tener un nivel de inglés alto para poder mantener conversaciones Ofrecemos incorporación inmediata con contrato indefinido y un plan de carrera a tres años con subidas salariales fijadas en función del rendimiento Requisitos Al menos 2 años de experiencia en C Linux Unix shell scripting Base de datos Relacionales Conocimientos Eclipse Docker git maven Ingles nivel C1 Las 20 000 personas que trabajamos en Worldline somos diferentes pero compartimos los mismos valores Puedes verlo en la forma en que nos comportamos Somos personas curiosas y humildes estamos aprendiendo todos los días hacemos que las cosas sean sencillas y esto hace que todo el mundo se comprometa En nuestra industria en continuo movimiento somos flexibles y no dejamos de aprender Todo el mundo demuestra la misma dedicación a la calidad y a la eficiencia Tenemos un espíritu emprendedor y sentido del servicio Y sobre todo nunca damos la espalda a un desafío Estos valores nutren un equipo dinámico e innovador donde todos pueden desarrollarse y crecer,data analyst
282,283,Rawson BPO,Programador React,"Madrid, Community of Madrid, Spain",Posted 3 weeks ago,0 applicants,Number of views 1 view,Entry level,51-200 employees,Information Technology & Services,Quieres trabajar en un ambiente dinámico con proyectos de gran envergadura aplicando tecnología de última generación y trabajar en equipo con profesionales de primer nivel En Rawson buscamos Programador React para una importante oferta laboral del sector IT Requisitos Perfil senior con dos 2 años de experencia real con React Disponibilidad inmediata de incorporacion Condiciones Laborales Contrato IndefinidoSalario A convenir de acuerdo a la experienciaLugar de trabajo Alcobendas Madrid,data analyst
283,284,Linea Directa Aseguradora,Data analyst orientación digital,"Number of views
                  
                  331 views",Posted 3 weeks ago,37 applicants,37 applicants,Associate,"1,001-5,000 employees",Insurance,Eres una persona que le guste afrontar un nuevo reto profesional y buscas continuar desarrollando tu carrera profesional en el área de Transformación Digital Buscamos un perfil multidisciplinar para el área de Transformación digital en el equipo de Experiencia cliente y análisis Ayudarás a analizar el comportamiento de los clientes millones para aportar insights a diseñadores directores y otras áreas participando activamente en los objetivos corporativos Realizarás tareas de definición extracción y análisis de los datos cuantitativos aportando una visión 360º de los clientes en los entornos digitales y telefónicos de la compañía Funciones Definición de plan de etiquetado de nuevas funcionalides o rediseño de pantallas en Google Analytics o Firebase para App Extracción y análisis de datos de GA360 o Firebase combinados con datos de Negocio con SAS y otras fuentes de datos app stores encuestas etc Preparación y análisis de Test A B con Google Optimize Definición implantación y actualización de reportes a la Dirección Excel DataStudio y Power BI Requisitos imprescindibles Facilidad con estadística y matemáticasConocimientos en SQL enfocado a SAS Conocimientos en Google AnalyticsConocimientos avanzados de Excel y PowerPoint Requisitos deseables Conocimientos de Firebase for Google analyticsConocimientos en Javascript HTMLConocimientos en PowerBI DAX Conocimientos en Google Tag Manager,data analyst
